Colony,Day,Brood,Bees,Assessor
1,0,1.81,NA,Ben
2,0,1.69,NA,Ben
3,0,1.91,NA,Ben
4,0,1.56,NA,Ben
5,0,1.16,NA,Ben
6,0,1.59,NA,Ben
7,0,2.47,NA,Ben
8,0,2.28,NA,Ben
9,0,1.13,NA,Ben
10,0,1.09,NA,Ben
11,0,1.14,NA,Ben
12,0,2.31,NA,Ben
13,0,1.97,NA,Ben
14,0,1.56,NA,Ben
15,0,1.09,NA,Ben
16,0,1.16,NA,Ben
17,0,1.44,NA,Ben
18,0,2.09,NA,Ben
19,0,1.75,NA,Ben
20,0,1.85,NA,Ben
21,0,1.63,NA,Ben
22,0,1.47,NA,Ben
23,0,1.13,NA,Ben
24,0,1.60,NA,Ben
1,28,2.74,6.02,Ben
2,28,5.38,6.275,Ben
3,28,5.81,5.69,Ben
4,28,3.26,4.56,Ben
5,28,4.57,6.041,Ben
6,28,1.10,3.805,Ben
7,28,4.42,5.995,Ben
8,28,4.90,7.206,Ben
9,28,1.48,10.865,Ben
10,28,4.87,7.05,Ben
11,28,6.05,5.775,Ben
12,28,4.86,5.785,Ben
13,28,6.21,13.695,Ben
14,28,4.26,6.49,Ben
15,28,4.91,6.71,Ben
16,28,5.29,9.3,Ben
17,28,6.35,9.475,Ben
18,28,1.55,4.061,Ben
19,28,4.54,8.725,Ben
20,28,1.75,4.891,Ben
21,28,1.70,10.57,Ben
22,28,5.03,9.185,Ben
23,28,6.36,9.55,Ben
24,28,1.36,16.65,Ben
1,53,3.77,8.97,Ben
2,53,3.91,7.36,Ben
3,53,0.56,6.5,Ben
4,53,2.45,7.33,Ben
5,53,2.97,8.52,Ben
6,53,0.44,6.38,Ben
7,53,3.71,8.65,Ben
8,53,2.76,7.87,Ben
9,53,4.70,8.4,Ben
10,53,2.21,4.63,Ben
11,53,2.51,6.15,Ben
12,53,2.61,8.06,Ben
13,53,3.07,8.08,Ben
14,53,2.50,9.91,Ben
15,53,3.98,11.81,Ben
16,53,3.76,9.35,Ben
17,53,4.96,11.01,Ben
18,53,1.75,5.13,Ben
19,53,2.31,12.25,Ben
20,53,2.31,7.9,Ben
21,53,2.16,10.01,Ben
22,53,3.15,11.38,Ben
23,53,4.99,15.15,Ben
24,53,5.47,14.45,Ben
1,81,0.82,8.51,Ben
2,81,1.85,6.08,Ben
3,81,1.70,4.63,Ben
4,81,1.46,5.83,Ben
5,81,1.15,7.18,Ben
6,81,0.00,2.91,Ben
7,81,1.91,5.66,Ben
8,81,1.50,6.26,Ben
9,81,2.17,9.5,Ben
10,81,0.00,5.68,Ben
11,81,1.56,5.22,Ben
12,81,0.36,5.71,Ben
13,81,0.85,5.18,Ben
14,81,0.90,6.51,Ben
15,81,3.69,6.52,Ben
16,81,1.01,8.25,Ben
17,81,3.21,9.7,Ben
18,81,1.56,4.55,Ben
19,81,0.85,8,Ben
20,81,0.41,8.07,Ben
21,81,0.80,6.62,Ben
22,81,0.01,6.81,Ben
23,81,1.46,7.61,Ben
24,81,2.56,10.16,Ben
1,0,1.28,NA,John
2,0,1.72,NA,John
3,0,1.63,NA,John
4,0,1.59,NA,John
5,0,1.94,NA,John
6,0,1.78,NA,John
7,0,2.25,NA,John
8,0,2.53,NA,John
9,0,1.03,NA,John
10,0,1.00,NA,John
11,0,1.56,NA,John
12,0,2.09,NA,John
13,0,1.66,NA,John
14,0,1.66,NA,John
15,0,1.22,NA,John
16,0,1.13,NA,John
17,0,1.31,NA,John
18,0,1.97,NA,John
19,0,1.78,NA,John
20,0,0.94,NA,John
21,0,1.88,NA,John
22,0,1.50,NA,John
23,0,1.66,NA,John
24,0,1.69,NA,John
1,28,2.66,8.115,John
2,28,5.25,7.04,John
3,28,5.55,6.5,John
4,28,3.28,5.41,John
5,28,5.20,10.76,John
6,28,1.80,4.58,John
7,28,5.40,9.49,John
8,28,5.21,8.82,John
9,28,1.33,11.005,John
10,28,4.05,7.51,John
11,28,5.06,7.7,John
12,28,4.10,8.33,John
13,28,5.55,10.085,John
14,28,5.07,10.36,John
15,28,5.19,10.26,John
16,28,5.45,11.95,John
17,28,6.37,10.325,John
18,28,1.28,6.675,John
19,28,8.73,11.455,John
20,28,2.10,6.89,John
21,28,2.15,10.42,John
22,28,5.78,11.935,John
23,28,6.15,15,John
24,28,1.50,16.55,John
1,53,4.46,10.35,John
2,53,3.96,9.31,John
3,53,0.61,7.5,John
4,53,2.61,8.02,John
5,53,3.40,10.02,John
6,53,0.54,7.95,John
7,53,3.71,11.15,John
8,53,3.26,10.75,John
9,53,5.61,10.65,John
10,53,2.40,6.25,John
11,53,3.30,8.31,John
12,53,2.96,9.75,John
13,53,3.56,10.41,John
14,53,2.55,12.1,John
15,53,4.85,11.5,John
16,53,4.26,12.55,John
17,53,5.40,12.17,John
18,53,2.01,7.82,John
19,53,3.26,12.65,John
20,53,2.16,9.7,John
21,53,2.37,12.46,John
22,53,3.35,13.32,John
23,53,4.81,14.8,John
24,53,5.80,18.7,John
1,81,0.94,7.88,John
2,81,2.00,6.99,John
3,81,1.95,4.89,John
4,81,1.27,5.37,John
5,81,1.21,7.78,John
6,81,0.00,3.48,John
7,81,1.67,5.98,John
8,81,1.21,7.59,John
9,81,1.52,10.23,John
10,81,0.00,5.87,John
11,81,1.36,5.31,John
12,81,0.35,5.48,John
13,81,0.76,4.92,John
14,81,0.95,7.6,John
15,81,3.22,6.91,John
16,81,0.76,9.65,John
17,81,2.91,10.5,John
18,81,1.30,4.22,John
19,81,0.90,8.6,John
20,81,0.47,8.56,John
21,81,0.70,6.32,John
22,81,0.01,7.65,John
23,81,1.31,8.65,John
24,81,2.25,9.05,John
